index,RSI
2020-12-04,63.8246
2020-12-03,65.2902
2020-12-02,65.1502
2020-12-01,66.5656
2020-11-30,66.4988
2020-11-27,66.2790
2020-11-25,65.9561
2020-11-24,66.1962
2020-11-23,64.4726
2020-11-20,63.5252
2020-11-19,63.5302
2020-11-18,64.5082
2020-11-17,64.3915
2020-11-16,63.1049
2020-11-13,61.8852
2020-11-12,61.4491
2020-11-11,61.4460
2020-11-10,60.9931
2020-11-09,60.6730
2020-11-06,57.3559
2020-11-05,54.0494
2020-11-04,54.7483
2020-11-03,54.4449
2020-11-02,53.6471
2020-10-30,52.9211
2020-10-29,51.9173
2020-10-28,52.7376
2020-10-27,54.1458
2020-10-26,53.9222
2020-10-23,54.4302
2020-10-22,54.3176
2020-10-21,54.1986
2020-10-20,53.5151
2020-10-19,53.4576
2020-10-16,54.2457
2020-10-15,53.4387
2020-10-14,53.3518
2020-10-13,54.0378
2020-10-12,55.0802
2020-10-09,55.6883
2020-10-08,55.6971
2020-10-07,54.9529
2020-10-06,55.0730
2020-10-05,53.2717
2020-10-02,51.0335
2020-10-01,52.9934
2020-09-30,51.9613
2020-09-29,50.9595
2020-09-28,51.4744
2020-09-25,50.1664
2020-09-24,48.9237
2020-09-23,52.8953
2020-09-22,55.7577
2020-09-21,56.6414
2020-09-18,58.8186
2020-09-17,57.1545
2020-09-16,58.4819
2020-09-15,58.4819
2020-09-14,57.2023
2020-09-11,56.6865
2020-09-10,57.2213
2020-09-09,56.6995
2020-09-08,56.1358
2020-09-04,56.1571
2020-09-03,59.3751
2020-09-02,58.6329
2020-09-01,56.1187
2020-08-31,56.8092
2020-08-28,56.2936
2020-08-27,56.8872
2020-08-26,56.8700
2020-08-25,56.8361
2020-08-24,56.2876
2020-08-21,56.1781
2020-08-20,56.4886
2020-08-19,57.2557
2020-08-18,57.0511
2020-08-17,57.4380
2020-08-14,56.8867
2020-08-13,56.5267
2020-08-12,57.9969
2020-08-11,56.1657
2020-08-10,54.8239
2020-08-07,53.7513
2020-08-06,55.6827
2020-08-05,55.7639
2020-08-04,54.1510
2020-08-03,54.0929
2020-07-31,53.9294
2020-07-30,53.8683
2020-07-29,54.9541
2020-07-28,55.3214
2020-07-27,55.4342
2020-07-24,56.1927
2020-07-23,56.5836
2020-07-22,56.3637
2020-07-21,56.5498
2020-07-20,57.1416
2020-07-17,56.4774
2020-07-16,56.2143
2020-07-15,56.0515
2020-07-14,54.3756
2020-07-13,53.8711
2020-07-10,52.0934
2020-07-09,53.1186
2020-07-08,53.0107
2020-07-07,54.1087
2020-07-06,54.0041
2020-07-02,53.0619
2020-07-01,52.7679
2020-06-30,52.3028
2020-06-29,52.3739
2020-06-26,51.9560
2020-06-25,51.2809
2020-06-24,52.2097
2020-06-23,52.8355
2020-06-22,52.3127
2020-06-19,54.4130
2020-06-18,53.6476
2020-06-17,54.1010
2020-06-16,54.3358
2020-06-15,52.1399
2020-06-12,53.8810
2020-06-11,54.3246
2020-06-10,57.2168
2020-06-09,57.0963
2020-06-08,56.9546
2020-06-05,55.8612
2020-06-04,54.4000
2020-06-03,55.1872
2020-06-02,54.6688
2020-06-01,54.0059
2020-05-29,53.5186
2020-05-28,53.9974
2020-05-27,53.9620
2020-05-26,51.6326
2020-05-22,50.4008
2020-05-21,50.4097
2020-05-20,49.2605
2020-05-19,48.6510
2020-05-18,48.7266
2020-05-15,46.6894
2020-05-14,46.4570
2020-05-13,46.4650
2020-05-12,48.0787
2020-05-11,48.1448
2020-05-08,47.0121
2020-05-07,46.6816
